"Time","run_number","fill","last_lumi","last_era","last_delay_h","last_global","last_globaltag","last_endtime","last_re-tracking-efficiency-analysis-harvester","last_re-tracking-efficiency-analysis-worker","last_re-tracking-efficiency-analysis-worker-with-reco","last_re-tracking-efficiency-reference-harvester","last_re-tracking-efficiency-reference-worker","last_tracking-efficiency","last_tracking-efficiency-alcareco","last_tracking-efficiency-analysis-harvester","last_tracking-efficiency-analysis-worker","last_tracking-efficiency-reference-harvester","last_tracking-efficiency-reference-worker","last_re-alcareco","last_plotters","first_delay_h"
2025-04-22 21:57:03.431,379660,9539,446,Run2024C,13192,done,150X_dataRun3_Prompt_v1,2024-04-19T02:34:21Z,done,,done,done,done,,,,,,,,,12541
2025-04-22 21:57:03.431,379729,9543,471,Run2024C,12807,done,150X_dataRun3_Prompt_v1,2024-04-20T03:13:34Z,done,,done,done,done,,,,,,,,,12516
2025-04-22 21:57:03.431,379765,9548,559,Run2024C,13147,done,150X_dataRun3_Prompt_v1,2024-04-21T01:02:06Z,done,,done,done,done,,,,,,,,,12494
2025-04-22 21:57:03.431,380074,9570,492,Run2024C,13009,done,150X_dataRun3_Prompt_v1,2024-04-28T15:01:17Z,done,,done,done,done,,,,,,,,,12312
2025-04-22 21:57:03.431,380115,9573,641,Run2024C,12574,done,150X_dataRun3_Prompt_v1,2024-04-29T21:22:16Z,done,,done,done,done,,,,,,,,,12282
2025-04-22 21:57:03.431,380385,9603,400,Run2024D,12456,done,150X_dataRun3_Prompt_v1,2024-05-05T20:02:02Z,done,,done,done,done,,,,,,,,,12451
2025-04-22 21:57:03.431,380446,9605,412,Run2024D,12428,done,150X_dataRun3_Prompt_v1,2024-05-07T00:16:15Z,done,,done,done,done,,,,,,,,,12423
2025-04-22 21:57:03.431,380470,9606,532,Run2024D,12403,done,150X_dataRun3_Prompt_v1,2024-05-07T23:44:52Z,done,,done,done,done,,,,,,,,,12399
2025-04-22 21:57:03.431,380531,9610,434,Run2024D,12366,done,150X_dataRun3_Prompt_v1,2024-05-09T13:44:07Z,done,,done,done,done,,,,,,,,,12361
2025-04-22 21:57:03.431,380624,9614,328,Run2024D,12303,done,150X_dataRun3_Prompt_v1,2024-05-12T04:31:59Z,done,,done,done,done,,,,,,,,,12298
2025-04-22 21:57:03.431,381065,9662,350,Run2024E,12050,done,150X_dataRun3_Prompt_v1,2024-05-22T17:23:50Z,done,,done,done,done,,,,,,,,,12046
2025-04-22 21:57:03.431,381384,9691,1008,Run2024E,11823,done,150X_dataRun3_Prompt_v1,2024-05-31T04:00:48Z,done,,done,done,done,,,,,,,,,11532
2025-04-22 21:57:03.431,381417,9694,679,Run2024E,11802,done,150X_dataRun3_Prompt_v1,2024-06-01T01:25:41Z,done,,done,done,done,,,,,,,,,11510
2025-04-22 21:57:03.431,381443,9696,590,Run2024E,11780,done,150X_dataRun3_Prompt_v1,2024-06-01T22:21:25Z,done,,done,done,done,,,,,,,,,11489
2025-04-22 21:57:03.431,381516,9707,557,Run2024E,11719,done,150X_dataRun3_Prompt_v1,2024-06-04T12:15:42Z,done,,done,done,done,,,,,,,,,11427
2025-04-22 21:57:03.431,382258,9810,480,Run2024F,11713,done,150X_dataRun3_Prompt_v1,2024-06-21T14:07:41Z,done,,done,done,done,,,,,,,,,11035
2025-04-22 21:57:03.431,382343,9819,935,Run2024F,11654,done,150X_dataRun3_Prompt_v1,2024-06-24T03:18:35Z,done,,done,done,done,,,,,,,,,10974
2025-04-22 21:57:03.431,382580,9840,694,Run2024F,11516,done,150X_dataRun3_Prompt_v1,2024-06-29T18:53:18Z,done,,done,done,done,,,,,,,,,10838
2025-04-22 21:57:03.431,382594,9842,602,Run2024F,11503,done,150X_dataRun3_Prompt_v1,2024-06-30T11:34:59Z,done,,done,done,done,,,,,,,,,10821
2025-04-22 21:57:03.431,382654,9849,711,Run2024F,11050,done,150X_dataRun3_Prompt_v1,2024-07-02T08:32:35Z,done,,done,done,done,,,,,,,,,10776
2025-04-22 21:57:03.431,382769,9861,640,Run2024F,11381,done,150X_dataRun3_Prompt_v1,2024-07-05T10:15:29Z,done,,done,done,done,,,,,,,,,10703
